1;говядина (мякоть);180
2;лук репчатый;43
3;кофе крепкий;2
4;морковь;33
5;чернослив;220
6;масло;750
7;сметана;115
8;зелень;41
9;соль
10;растительное масло;900
11;майонез;625
12;сыр "Рокфор";370
13;рис отварной;337
14;томатный соус;20
15;перец черный молотый
16;говядина (вырезка);180
17;перец консервированный маринованный;19
18;чеснок;60
19;изюм;270
20;рис;337
21;бананы жареные;90
22;яйцо;65
23;вино белое сухое;85
24;шпик;365
25;язык вареный;165
26;шампиньоны;27
27;сало топленое;885
28;картофель;60
29;салат;11
30;помидоры;20
31;корень хрена;49
32;телятина (фарш);90
33;мука;348
34;маргарин;745
35;баранина;316
36;томатная паста;20
37;бульон;30
38;жир;930
39;лавровый лист
40;специи
41;бульон мясной;30
42;хлеб белый;206
43;яйцо вареное;65
44;окорок бараний;202
45;пиво;42
46;шпик копченый;365
47;сыр;360
48;орехи грецкие ядра;650
49;оливковое масло;824
50;уксус столовый 3%-й;11
51;перец черный
52;свинина (мякоть);265
53;лук зеленый;18
54;маслины;351
55;хлеб;206
56;перец горошком
57;говядина;180
58;фасоль;328
59;цедра 1 апельсина;45
60;соус русский;93
61;вино красное;150
62;хлеб пшеничный;206
63;сало;770
64;соус белый основной;93
65;яблоко зеленое;45
66;перец сладкий;19
67;вермут
68;лимон;30
69;перец черный маринованный
70;фасоль стручковая консервированная;328
71;баклажаны;28
72;курага;290
73;вода
74;гранат;52
75;соевый соус;93
76;сок лимонный;30
77;баранина вареная;316
78;масло топленое;885
79;сушеные травы
80;фасоль стручковая;328
81;ветчина;365
82;соус белый;93
83;огурцы соленые;15
84;сок гранатовый;52
85;гранат, зерна;52
86;уксус 3%-й;11
87;почки бараньи;66
88;фарш;200
89;молоко;60
90;сухари панировочные
91;мандарины;41
92;творог;226
93;грудинка копченая;475
94;соус "Провансаль";93
95;уксус винный;11
96;сахар;295
97;печень телячья;100
98;бананы;90
99;вино белое;150
100;язык говяжий;165
101;грибы свежие;25
102;орехи грецкие очищенные;650
103;бульон говяжий;30
104;черемша измельченный для соуса
105;паприка для соуса
106;вино красное для соуса;150
107;гарнир (3-4 вида овощей)
108;баранина грудинка или лопатка;316
109;капуста белокочанная;23
110;сельдерей
111;корень петрушки;23
112;черемша
113;сухари
114;перец белый свежесмолотый
115;сосиски крупные со специями;235
116;майоран или душица
117;гарам масала порошок
118;карри порошок или паста
119;яйцо взбитое;65
120;мука для фарша и соуса;348
121;молоко для фарша и соуса;60
122;сок яблочный концентрированный для соуса
123;бульонный кубик;30
124;сосиски;235
125;лук консервированный;18
126;душица сушеная
127;фарш нежирный говяжий хорошего качества;200
128;свекла крупная вареная, очищенная и нарезанная или протертая;40
129;масло соевое;900
130;яичный желток
131;печень говяжья;100
132;хлеб пшеничный черствый;206
133;свинина (филе);265
134;глютaмат натрия
135;вино столовое;150
136;масло арахисовое;750
137;крахмал картофельный;60
138;водка
139;мускатный орех молотый
140;кориандр молотый
141;кунжут
142;перец красный молотый
